Date,State,TotalSamples,Negative,Positive,total_positive
21-01-2021,Andaman and Nicobar Islands,209437,,4991,9982
22-01-2021,Andaman and Nicobar Islands,210762,,4992,9983
23-01-2021,Andaman and Nicobar Islands,212393,,4993,9985
24-01-2021,Andaman and Nicobar Islands,213467,,4993,9986
25-01-2021,Andaman and Nicobar Islands,214915,,4994,9987
26-01-2021,Andaman and Nicobar Islands,215858,,4994,9988
27-01-2021,Andaman and Nicobar Islands,217007,,4994,9988
28-01-2021,Andaman and Nicobar Islands,218629,,4994,9988
29-01-2021,Andaman and Nicobar Islands,220484,,4994,9988
30-01-2021,Andaman and Nicobar Islands,221876,,4994,9988
31-01-2021,Andaman and Nicobar Islands,223137,,4994,9988
01-02-2021,Andaman and Nicobar Islands,224852,,4994,9988
02-02-2021,Andaman and Nicobar Islands,226584,,4994,9988
03-02-2021,Andaman and Nicobar Islands,228290,,4994,9988
04-02-2021,Andaman and Nicobar Islands,230133,,4994,9988
05-02-2021,Andaman and Nicobar Islands,231633,,4997,9991
06-02-2021,Andaman and Nicobar Islands,233597,,5000,9997
07-02-2021,Andaman and Nicobar Islands,235072,,5001,10001
08-02-2021,Andaman and Nicobar Islands,236643,,5005,10006
09-02-2021,Andaman and Nicobar Islands,238339,,5007,10012
10-02-2021,Andaman and Nicobar Islands,240362,,5007,10014
11-02-2021,Andaman and Nicobar Islands,241833,,5007,10014
12-02-2021,Andaman and Nicobar Islands,243631,,5007,10014
13-02-2021,Andaman and Nicobar Islands,245745,,5009,10016
14-02-2021,Andaman and Nicobar Islands,247289,,5009,10018
15-02-2021,Andaman and Nicobar Islands,248562,,5009,10018
16-02-2021,Andaman and Nicobar Islands,250037,,5013,10022
17-02-2021,Andaman and Nicobar Islands,251774,,5014,10027
18-02-2021,Andaman and Nicobar Islands,253718,,5014,10028
19-02-2021,Andaman and Nicobar Islands,255675,,5014,10028
20-02-2021,Andaman and Nicobar Islands,257213,,5014,10028
21-02-2021,Andaman and Nicobar Islands,258773,,5014,10028
22-02-2021,Andaman and Nicobar Islands,260324,,5015,10029
23-02-2021,Andaman and Nicobar Islands,261719,,5016,10031
24-02-2021,Andaman and Nicobar Islands,263090,,5016,10032
25-02-2021,Andaman and Nicobar Islands,264369,,5016,10032
26-02-2021,Andaman and Nicobar Islands,265852,,5017,10033
27-02-2021,Andaman and Nicobar Islands,267209,,5018,10035
28-02-2021,Andaman and Nicobar Islands,268499,,5020,10038
01-03-2021,Andaman and Nicobar Islands,269799,,5020,10040
02-03-2021,Andaman and Nicobar Islands,271193,,5020,10040
03-03-2021,Andaman and Nicobar Islands,273010,,5022,10042
04-03-2021,Andaman and Nicobar Islands,274849,,5024,10046
05-03-2021,Andaman and Nicobar Islands,276471,,5024,10048
06-03-2021,Andaman and Nicobar Islands,278437,,5024,10048
07-03-2021,Andaman and Nicobar Islands,280041,,,5024
08-03-2021,Andaman and Nicobar Islands,281955,,5026,5026
09-03-2021,Andaman and Nicobar Islands,283492,,5028,10054
10-03-2021,Andaman and Nicobar Islands,285087,,5028,10056
11-03-2021,Andaman and Nicobar Islands,286505,,5028,10056
12-03-2021,Andaman and Nicobar Islands,288197,,5029,10057
13-03-2021,Andaman and Nicobar Islands,290341,,5030,10059
14-03-2021,Andaman and Nicobar Islands,291842,,5031,10061
15-03-2021,Andaman and Nicobar Islands,294094,,5031,10062
16-03-2021,Andaman and Nicobar Islands,295827,,5032,10063
17-03-2021,Andaman and Nicobar Islands,297433,,5035,10067
18-03-2021,Andaman and Nicobar Islands,299048,,5036,10071
19-03-2021,Andaman and Nicobar Islands,300892,,5038,10074
20-03-2021,Andaman and Nicobar Islands,302566,,5038,10076
21-03-2021,Andaman and Nicobar Islands,304391,,5039,10077
22-03-2021,Andaman and Nicobar Islands,305778,,5039,10078
23-03-2021,Andaman and Nicobar Islands,307255,,5039,10078
24-03-2021,Andaman and Nicobar Islands,308812,,5041,10080
25-03-2021,Andaman and Nicobar Islands,310615,,5042,10083
26-03-2021,Andaman and Nicobar Islands,312378,,5043,10085
27-03-2021,Andaman and Nicobar Islands,314309,,5044,10087
28-03-2021,Andaman and Nicobar Islands,315818,,5046,10090
29-03-2021,Andaman and Nicobar Islands,317137,,5052,10098
30-03-2021,Andaman and Nicobar Islands,318382,,5081,10133
31-03-2021,Andaman and Nicobar Islands,319864,,5083,10164
01-04-2021,Andaman and Nicobar Islands,321456,,5084,10167
02-04-2021,Andaman and Nicobar Islands,323001,,5084,10168
03-04-2021,Andaman and Nicobar Islands,324207,,5098,10182
04-04-2021,Andaman and Nicobar Islands,325826,,5109,10207
05-04-2021,Andaman and Nicobar Islands,327270,,5116,10225
06-04-2021,Andaman and Nicobar Islands,328737,,5123,10239
07-04-2021,Andaman and Nicobar Islands,330481,,5131,10254
08-04-2021,Andaman and Nicobar Islands,332119,,5149,10280
09-04-2021,Andaman and Nicobar Islands,333671,,5161,10310
10-04-2021,Andaman and Nicobar Islands,335784,,5175,10336
11-04-2021,Andaman and Nicobar Islands,337833,,5190,10365
12-04-2021,Andaman and Nicobar Islands,339482,,5201,10391
